domain,priority,reason
756gmail.com,1,Combo-squat: gmail
758gmail.com,1,Combo-squat: gmail
75gmail.com,1,Combo-squat: gmail
760gmail.com,1,Combo-squat: gmail
76271gmail.com,1,Combo-squat: gmail
765gmail.com,1,Combo-squat: gmail
766gmail.com,1,Combo-squat: gmail
767gmail.com,1,Combo-squat: gmail
768gmail.com,1,Combo-squat: gmail
76gmail.com,1,Combo-squat: gmail
770gmail.com,1,Combo-squat: gmail
776gmail.com,1,Combo-squat: gmail
777gmail.com,1,Combo-squat: gmail
779gmail.com,1,Combo-squat: gmail
782gmail.com,1,Combo-squat: gmail
783gmail.com,1,Combo-squat: gmail
784gmail.com,1,Combo-squat: gmail
785gmail.com,1,Combo-squat: gmail
786gmail.com,1,Combo-squat: gmail
7878gmail.com,1,Combo-squat: gmail
787gmail.com,1,Combo-squat: gmail
789gmail.com,1,Combo-squat: gmail
78gmail.com,1,Combo-squat: gmail
790gmail.com,1,Combo-squat: gmail
794gmail.com,1,Combo-squat: gmail
798gmail.com,1,Combo-squat: gmail
799gmail.com,1,Combo-squat: gmail
79gmail.com,1,Combo-squat: gmail
7gmail.com,1,Combo-squat: gmail
7uber.com,1,Combo-squat: uber
800gmail.com,1,Combo-squat: gmail
803gmail.com,1,Combo-squat: gmail
806gmail.com,1,Combo-squat: gmail
807gmail.com,1,Combo-squat: gmail
808gmail.com,1,Combo-squat: gmail
809gmail.com,1,Combo-squat: gmail
80gmail.com,1,Combo-squat: gmail
810gmail.com,1,Combo-squat: gmail
811gmail.com,1,Combo-squat: gmail
817gmail.com,1,Combo-squat: gmail
818gmail.com,1,Combo-squat: gmail
819gmail.com,1,Combo-squat: gmail
81gmail.com,1,Combo-squat: gmail
820gmail.com,1,Combo-squat: gmail
821gmail.com,1,Combo-squat: gmail
823gmail.com,1,Combo-squat: gmail
825gmail.com,1,Combo-squat: gmail
827gmail.com,1,Combo-squat: gmail
830gmail.com,1,Combo-squat: gmail
833gmail.com,1,Combo-squat: gmail
834gmail.com,1,Combo-squat: gmail
835gmail.com,1,Combo-squat: gmail
839gmail.com,1,Combo-squat: gmail
83gmail.com,1,Combo-squat: gmail
840gmail.com,1,Combo-squat: gmail
841gmail.com,1,Combo-squat: gmail
842gmail.com,1,Combo-squat: gmail
845gmail.com,1,Combo-squat: gmail
847gmail.com,1,Combo-squat: gmail
848gmail.com,1,Combo-squat: gmail
849gmail.com,1,Combo-squat: gmail
84gmail.com,1,Combo-squat: gmail
850gmail.com,1,Combo-squat: gmail
852gmail.com,1,Combo-squat: gmail
853gmail.com,1,Combo-squat: gmail
854gmail.com,1,Combo-squat: gmail
855gmail.com,1,Combo-squat: gmail
857gmail.com,1,Combo-squat: gmail
858gmail.com,1,Combo-squat: gmail
859gmail.com,1,Combo-squat: gmail
85gmail.com,1,Combo-squat: gmail
860gmail.com,1,Combo-squat: gmail
86gmail.com,1,Combo-squat: gmail
871gmail.com,1,Combo-squat: gmail
873gmail.com,1,Combo-squat: gmail
874gmail.com,1,Combo-squat: gmail
876gmail.com,1,Combo-squat: gmail
87gmail.com,1,Combo-squat: gmail
880gmail.com,1,Combo-squat: gmail
881gmail.com,1,Combo-squat: gmail
885gmail.com,1,Combo-squat: gmail
887gmail.com,1,Combo-squat: gmail
8888gmail.com,1,Combo-squat: gmail
888gmail.com,1,Combo-squat: gmail
890gmail.com,1,Combo-squat: gmail
