ip,prefix,provider,asn,asn_name,source_date,score_prehire,tier_prehire,score_posthire,tier_posthire,first_seen,last_seen,active
185.204.1.203,,mullvad,AS51765,"CREANOVA-AS - Oy Crea Nova Hosting Solution Ltd, FI",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.204.1.211,,mullvad,AS51765,"CREANOVA-AS - Oy Crea Nova Hosting Solution Ltd, FI",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.204.1.219,,mullvad,AS51765,"CREANOVA-AS - Oy Crea Nova Hosting Solution Ltd, FI",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.138.7.137,,mullvad,AS50304,"BLIX - Blix Solutions AS, NO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.138.7.157,,mullvad,AS50304,"BLIX - Blix Solutions AS, NO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.138.7.177,,mullvad,AS50304,"BLIX - Blix Solutions AS, NO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.138.7.197,,mullvad,AS50304,"BLIX - Blix Solutions AS, NO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.65.133.5,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.65.133.85,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.65.133.165,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
45.134.79.67,,mullvad,AS39486,"HOSTROYALE - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
45.134.79.97,,mullvad,AS39486,"HOSTROYALE - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
138.199.15.162,,mullvad,AS60068,"CDN77 - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
138.199.15.146,,mullvad,AS60068,"CDN77 - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.126.66,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.126.67,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.126.68,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.126.69,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.126.84,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
193.32.126.83,,mullvad,AS39351,"ESAB-AS - 31173 Services AB, SE",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
