ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
107.175.24.147,known_campaign_ips.txt,AS36352,False,,False,,,2026-08-23
107.180.232.216,dea_domains_probed.csv,AS26347,False,,False,,,2026-08-25
108.163.129.12,dea_domains_probed.csv,AS32613,False,,False,,,2026-08-25
108.187.41.41,dea_domains_probed.csv,AS395954,False,,False,,,2026-08-25
109.94.209.214,dea_domains_probed.csv,AS202376,False,,False,,,2026-08-25
111.124.203.38,dea_domains_probed.csv,AS4134,False,,False,,,2026-08-25
115.159.57.239,dea_domains_probed.csv,AS45090,False,,False,,,2026-08-25
116.213.36.226,dea_domains_probed.csv,AS45753,False,,False,,,2026-08-25
116.213.38.212,dea_domains_probed.csv,AS45753,False,,False,,,2026-08-25
116.255.187.252,dea_domains_probed.csv,AS4837,False,,False,,,2026-08-25
118.107.248.134,dea_domains_probed.csv,AS132825,False,,False,,,2026-08-25
118.107.248.161,dea_domains_probed.csv,AS132825,False,,False,,,2026-08-25
120.76.157.134,known_campaign_ips.txt,AS37963,False,,True,RustDesk,21116:RustDesk(port),2026-08-23
122.10.69.9,dea_domains_probed.csv,AS134548,False,,False,,,2026-08-25
122.10.71.228,dea_domains_probed.csv,AS134548,False,,False,,,2026-08-25
122.10.8.15,dea_domains_probed.csv,AS134548,False,,False,,,2026-08-25
122.10.8.29,dea_domains_probed.csv,AS134548,False,,False,,,2026-08-25
122.189.208.242,dea_domains_probed.csv,AS4837,False,,False,,,2026-08-25
124.156.190.61,dea_domains_probed.csv,AS132203,False,,False,,,2026-08-25
128.14.163.252,dea_domains_probed.csv,AS21859,False,,False,,,2026-08-25
128.140.59.250,dea_domains_probed.csv,AS24940,False,,False,,,2026-08-25
129.151.223.122,known_campaign_ips.txt,AS31898,False,,False,,,2026-08-23
129.152.21.27,known_campaign_ips.txt,AS31898,False,,False,,,2026-08-23
13.223.25.84,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-25
13.248.169.48,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-25
132.145.19.65,known_campaign_ips.txt,AS31898,False,,False,,,2026-08-23
134.199.176.193,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
134.199.197.216,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
134.213.148.29,dea_domains_probed.csv,AS15395,False,,False,,,2026-08-25
137.184.168.168,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
137.220.137.165,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
137.220.156.153,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
137.220.158.17,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
137.220.158.53,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
137.66.32.95,dea_domains_probed.csv,AS40509,False,,True,RDP;VNC;ScreenConnect,3389:RDP(port); 5903:VNC(port); 5905:VNC(port); 8172:ScreenConnect(port),2026-08-25
138.199.129.244,dea_domains_probed.csv,AS24940,False,,False,,,2026-08-25
138.2.27.78,known_campaign_ips.txt,AS31898,False,,False,,,2026-08-23
138.226.240.26,known_campaign_ips.txt,,False,,False,,,2026-08-23
138.68.146.115,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
138.68.196.199,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
139.144.18.132,known_campaign_ips.txt,AS63949,False,,False,,,2026-08-23
139.162.216.171,dea_domains_probed.csv,AS63949,False,,False,,,2026-08-25
14.116.220.229,dea_domains_probed.csv,AS58466,False,,False,,,2026-08-25
14.225.220.113,known_campaign_ips.txt,AS135905,False,,False,,,2026-08-23
140.238.194.190,dea_domains_probed.csv,AS31898,False,,False,,,2026-08-25
140.238.97.52,dea_domains_probed.csv,AS31898,False,,False,,,2026-08-25
141.147.111.168,dea_domains_probed.csv,AS31898,False,,False,,,2026-08-25
141.147.181.188,dea_domains_probed.csv,AS31898,False,,True,RustDesk,21116:RustDesk(port); 21116:RustDesk(port),2026-08-25
141.98.199.195,known_campaign_ips.txt,AS8888,False,,False,,,2026-08-23
143.110.253.118,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
143.92.56.198,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
144.126.216.56,known_campaign_ips.txt,AS14061,False,,False,,,2026-08-23
146.103.66.176,dea_domains_probed.csv,AS54994,False,,False,,,2026-08-25
146.88.161.34,dea_domains_probed.csv,AS55547,False,,False,,,2026-08-25
