pivot_selector,pivot_ip,discovered_domain,source
Backfill,87.98.250.141,feroucomeureu-8299.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,hequogaseissu-1393.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,company.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,ramper123.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,roquaratajo-4662.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,test3r.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,havoc333.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,buka.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,tillutihame-5822.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,vaiblya.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,netcrazycc.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,pop3.yopmail.fr,AlienVault_OTX
Backfill,87.98.250.141,onotole.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,zzz.myyopdev.com,AlienVault_OTX
Backfill,87.98.250.141,250asmtp.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,m.myyopdev.com,AlienVault_OTX
Backfill,87.98.250.141,m.toopitoo.com,AlienVault_OTX
Backfill,87.98.250.141,www.toopitoo.com,AlienVault_OTX
Backfill,87.98.250.141,www.myyopdev.com,AlienVault_OTX
Backfill,87.98.250.141,duncdocmaneepul.tk,AlienVault_OTX
Backfill,87.98.250.141,myyopdev.com,AlienVault_OTX
Backfill,87.98.250.141,toopitoo.com,AlienVault_OTX
Backfill,87.98.250.141,thugz.top,AlienVault_OTX
Backfill,87.98.250.141,mail.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,m.cproxy.com.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,m.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,yopmail.fr,AlienVault_OTX
Backfill,87.98.250.141,www.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,server-en.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,com.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,m.yopmail.net,AlienVault_OTX
Backfill,87.98.250.141,malware.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,test.magu.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,nicolas.cousin.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,contactcasse.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,pra2sylvain.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,chunliprsylvain.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,platypus.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,chunli2.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,light.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,crazyball34.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,tesr_fr_dev_guest.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,dob.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,auto.non.porteur2.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,auto.non.porteur.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,test_dut_guest1.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,a.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,dagmar.glob-plus-card.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,cochon.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,testu.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,pfla.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,testobs2.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,test.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,nicolas.cousin1.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,brokenucard.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,honda2.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,www.cproxy.com.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,marguerite.chretien.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,testsincription2.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,m.humhumm.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,honda.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,chunli.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,fu.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,francoismupepe.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,dzullo.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,profilsoapui.locu.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,locu.yopmail.fr,AlienVault_OTX
Backfill,87.98.250.141,locu.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,tartempion5.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,m.m.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,www.eyny.cn.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,mybizagi.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,bizagmy.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,rastermaster.yopmail.com,AlienVault_OTX
Backfill,87.98.250.141,hostmaster.yopmail.com,AlienVault_OTX
