domain,ip,shodan_ip,ports,vulns,tags,hostnames,os,priority,reason
cigna-appeal-form.pdffiller.com,23.200.156.75,23.200.156.75,80;443,,cdn,plansee-group.com;plansee-konzerte.at;www.globaltungsten.com;plansee.com;a23-200-156-75.deploy.static.akamaitechnologies.com;www.plansee-seminar.com;www.plansee-group.com;www.ceratizit.com;ceratizit.com;plansee-seminar.com;globaltungsten.com;www.plansee.com;www.plansee-konzerte.at,,1,Combo-squat: cigna
chromeenterprise.google,,216.239.32.27,,,,,,1,Combo-squat: google
cignaglobal.com,,170.48.68.153,,,,,,1,Combo-squat: cigna
cigna.healthmarketadvisor.com,3.225.110.42,3.225.110.42,80;443,,cloud,ec2-3-225-110-42.compute-1.amazonaws.com,,1,Combo-squat: cigna
cignas.com,192.250.235.19,192.250.235.19,2082;2083;52230;2086;2087;143;80;25;443;2079,,self-signed;starttls,whgi.net;s1297.sgp1.mysecurecloudhost.com,,1,Combo-squat: cigna
cignax.com,,172.67.186.183,,,,,,1,Combo-squat: cigna
cigna1.com,209.196.146.115,209.196.146.115,80;443,CVE-2023-44487;CVE-2025-23419,eol-product,,,1,Combo-squat: cigna
cignae.com,,195.201.170.87,,,,,,1,Combo-squat: cigna
chatgptw.com,,47.91.170.222,,,,,,1,Combo-squat: chatgpt
cisco2.com,,156.250.230.56,,,,,,1,Combo-squat: cisco
ciscoe.com,192.185.225.231,192.185.225.231,993;2082;995;2222;2086;2087;3306;587;110;143;80;465;2083;21;22;26;443;2096;53,CVE-2023-51385;CVE-2016-20012;CVE-2018-15919;CVE-2017-15906;CVE-2021-36368;CVE-2025-26465;CVE-2023-51767;CVE-2018-20685;CVE-2018-15473;CVE-2020-14145;CVE-2020-15778;CVE-2023-48795;CVE-2023-38408;CVE-2007-2768;CVE-2008-3844;CVE-2019-6111;CVE-2019-6110;CVE-2021-41617;CVE-2025-32728;CVE-2019-6109,database;eol-product;starttls,hostgator.com;ablecleaninginc.com,,1,Combo-squat: cisco
ciscol.com,,47.93.123.113,,,,,,1,Combo-squat: cisco
ciscoi.com,75.119.207.249,75.119.207.249,9280;443;587;80;22;123,,self-signed,apache2-whippit.pdx1-shared-a1-19.dreamhost.com,,1,Combo-squat: cisco
ciscom.com,52.35.104.127,52.35.104.127,80;443,,cloud,ec2-52-35-104-127.us-west-2.compute.amazonaws.com;axionthemes.com,,1,Combo-squat: cisco
ciscow.com,,104.143.136.114,,,,,,1,Combo-squat: cisco
ciscor.com,,52.73.4.14,,,,,,1,Combo-squat: cisco
citi1.com,216.239.136.99,216.239.136.99,80;443,,,216-239-136.99.cluster.omnis.com,,1,Combo-squat: citi
citi7.com,,156.227.119.3,,,,,,1,Combo-squat: citi
citi9.com,156.226.71.111,156.226.71.111,80,,,,,1,Combo-squat: citi
citibanquesi.space,,172.67.209.193,,,,,,1,Combo-squat: citi
ciscou.com,,72.163.4.154,,,,,,1,Combo-squat: cisco
cisco7.com,,8.218.208.240,,,,,,1,Combo-squat: cisco
citia.com,,3.171.85.3,,,,,,1,Combo-squat: citi
ciscos.com,172.235.47.199,172.235.47.199,80;443,,cdn;cloud,172-235-47-199.ip.linodeusercontent.com;wp-ingress.thefinalcode.com,,1,Combo-squat: cisco
citibet88login.com,104.21.25.143,104.21.25.143,2096;2082;2083;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,yapisaldonusum.com,,1,Combo-squat: citi
ciscoo.com,,207.211.163.74,,,,,,1,Combo-squat: cisco
citig.com,,24.199.105.60,,,,,,1,Combo-squat: citi
citicards.citi.com,,34.120.71.6,,,,,,1,Combo-squat: citi
citih.com,172.67.193.151,172.67.193.151,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: citi
citic.com,,111.62.149.162,,,,,,1,Combo-squat: citi
citiensbank.com,,212.92.105.229,,,,,,1,Combo-squat: citi
citio.com,,74.208.236.219,,,,,,1,Combo-squat: citi
citib.com,103.224.212.205,103.224.212.205,80;443,,,researcham.store;allostreaming.net;bogelmelayu.club;lones.eu;bitsdujour.co;lolanimemyanmar.org;cheatcodecc.com;todaycricketmatch.com;436hhh.com;istorageselfstorage303369.icu;alexbeaton.com;flow888.bet;northwest-scaffolding.co.uk;uycf.com;chained-soldier.online;lb-212-205.above.com;okauto.online,,1,Combo-squat: citi
citizensbanc.com,103.224.212.205,103.224.212.205,80;443,,,researcham.store;allostreaming.net;bogelmelayu.club;lones.eu;bitsdujour.co;lolanimemyanmar.org;cheatcodecc.com;todaycricketmatch.com;436hhh.com;istorageselfstorage303369.icu;alexbeaton.com;flow888.bet;northwest-scaffolding.co.uk;uycf.com;chained-soldier.online;lb-212-205.above.com;okauto.online,,1,Combo-squat: citi
citiozensbank.com,167.172.228.26,167.172.228.26,80;443,CVE-2023-44487;CVE-2025-23419;CVE-2021-3618,eol-product;cloud,0gomovie.com,,1,Combo-squat: citi
citis.com,,149.13.119.214,,,,,,1,Combo-squat: citi
citim.com,172.98.192.99,172.98.192.99,8080;80;53;443;8444;1022,,,,Linux,1,Combo-squat: citi
citisensbank.com,103.224.212.212,103.224.212.212,80;443,,,ph170.com;immlwelt.de;sissyfication.blog;xn--vollwrmedmmung-9hbe.de;arroundhome.de;overon-invest-quiz.com;xn--wstenfalke-9db.de;pferdeschlachtung.de;textury.cz;jiofilocalhtml.eu;lb-212-212.above.com;hotstock.com.au;decustomerfirst.com;webserieshub.xyz;nudgeemall.com;kaya303.pro;fkq.de;gujaratimovies.xyz;weheartit.nl;1800usajobs.com;prevegan.com;needmoregames.com;izza.world;citiiforex.us;erarth.net;gigastar.de;haitangmi.com;livresmetodos.com;lullabelz.com,,1,Combo-squat: citi
citizenbank.com,104.18.36.216,104.18.36.216,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,,,1,Combo-squat: citi
citizen.sbank.com,,208.91.197.27,,,,,,1,Combo-squat: citi
citizansbank.com,159.69.42.212,159.69.42.212,80;443;22,,self-signed,static.212.42.69.159.clients.your-server.de,,1,Combo-squat: citi
citizens-bank.com,,13.226.209.105,,,,,,1,Combo-squat: citi
citizemsbank.com,212.32.254.56,212.32.254.56,80;8080;443;53,,,baublesandbeads.com,,1,Combo-squat: citi
citizensbank.com,23.62.92.164,23.62.92.164,80,,cdn,a23-62-92-164.deploy.static.akamaitechnologies.com,,1,Combo-squat: citi
citizensbankl.com,103.224.182.219,103.224.182.219,80;443,,,qrc.im;lb-182-219.above.com;hospital-antwerp.com;businesscollege.au;chicshack.net;freecall.com.au;charismacommunity.com;eperfume.net.au;mmspro.mobi;resortquestdestin.com;indianka.life,,1,Combo-squat: citizensbank
citizensbak.com,92.204.242.158,92.204.242.158,80;8080;443;53,,,adanadan.biz,,1,Combo-squat: citi
citizensbabnk.com,,185.150.189.166,,,,,,1,Combo-squat: citi
citizensebank.com,,104.18.25.218,,,,,,1,Combo-squat: citi
