domain,priority,reason,flame_tp_ids
qmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
salesfotce.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
sepotify.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
spa.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
statestret.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 95),TP-0012
tgmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
tmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
toogle.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
trav3lers.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
traveleres.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
unurn.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
usa.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
vhc.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
xn--gmal-nza.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
xn--gmal-spa.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
xn--mail-kxa.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 85),TP-0012
zber.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012
zmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
00.0.gmail.com.gmail.8.3.gmail.35.cad.creou.dev,1,Combo-squat: gmail,
001gmail.com,1,Combo-squat: gmail,
002gmail.com,1,Combo-squat: gmail,
004gmail.com,1,Combo-squat: gmail,
005gmail.com,1,Combo-squat: gmail,
006gmail.com,1,Combo-squat: gmail,
007gmail.com,1,Combo-squat: gmail,
008gmail.com,1,Combo-squat: gmail,
009gmail.com,1,Combo-squat: gmail,
010gmail.com,1,Combo-squat: gmail,
011gmail.com,1,Combo-squat: gmail,
01252gmail.com,1,Combo-squat: gmail,
012gmail.com,1,Combo-squat: gmail,
014gmail.com,1,Combo-squat: gmail,
016gmail.com,1,Combo-squat: gmail,
017gmail.com,1,Combo-squat: gmail,
019gmail.com,1,Combo-squat: gmail,
01gmail.com,1,Combo-squat: gmail,
0202gmail.com,1,Combo-squat: gmail,
020gmail.com,1,Combo-squat: gmail,
021gmail.com,1,Combo-squat: gmail,
022gmail.com,1,Combo-squat: gmail,
023gmail.com,1,Combo-squat: gmail,
025gmail.com,1,Combo-squat: gmail,
028gmail.com,1,Combo-squat: gmail,
029gmail.com,1,Combo-squat: gmail,
02gmail.com,1,Combo-squat: gmail,
030gmail.com,1,Combo-squat: gmail,
031gmail.com,1,Combo-squat: gmail,
032gmail.com,1,Combo-squat: gmail,
036gmail.com,1,Combo-squat: gmail,
039gmail.com,1,Combo-squat: gmail,
03gmail.com,1,Combo-squat: gmail,
041gmail.com,1,Combo-squat: gmail,
042gmail.com,1,Combo-squat: gmail,
043gmail.com,1,Combo-squat: gmail,
047gmail.com,1,Combo-squat: gmail,
04gmail.com,1,Combo-squat: gmail,
050gmail.com,1,Combo-squat: gmail,
057gmail.com,1,Combo-squat: gmail,
058gmail.com,1,Combo-squat: gmail,
059gmail.com,1,Combo-squat: gmail,
05gmail.com,1,Combo-squat: gmail,
060gmail.com,1,Combo-squat: gmail,
062gmail.com,1,Combo-squat: gmail,
063gmail.com,1,Combo-squat: gmail,
065gmail.com,1,Combo-squat: gmail,
066gmail.com,1,Combo-squat: gmail,
067gmail.com,1,Combo-squat: gmail,
068gmail.com,1,Combo-squat: gmail,
06gmail.com,1,Combo-squat: gmail,
071gmail.com,1,Combo-squat: gmail,
078gmail.com,1,Combo-squat: gmail,
079gmail.com,1,Combo-squat: gmail,
07gmail.com,1,Combo-squat: gmail,
086gmail.com,1,Combo-squat: gmail,
087gmail.com,1,Combo-squat: gmail,
089gmail.com,1,Combo-squat: gmail,
08gmail.com,1,Combo-squat: gmail,
090gmail.com,1,Combo-squat: gmail,
091gmail.com,1,Combo-squat: gmail,
092gmail.com,1,Combo-squat: gmail,
093gmail.com,1,Combo-squat: gmail,
095gmail.com,1,Combo-squat: gmail,
096gmail.com,1,Combo-squat: gmail,
097gmail.com,1,Combo-squat: gmail,
098gmail.com,1,Combo-squat: gmail,
099gmail.com,1,Combo-squat: gmail,
09gmail.com,1,Combo-squat: gmail,
1.a.z.1.gmail.i.0.83.y.9.aiot.ptcu.dev,1,Combo-squat: gmail,
100003901618211.cryptonews24h.xyz,1,Combo-squat: crypto,
