domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
4s.como.com.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
4superbowl.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
4tires.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
4trade.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
4warding.net,FP-0011,IP-KVM / Remote-Management Exposure,40,,rmm_detected=yes
4weather.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
4xodus.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
5-3.com,FP-0007,Typosquat Evasion Infrastructure,95,TP-0012,dnstwist_match=True
51.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
52.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
52.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
52.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
52mails.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
530.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
530run.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,100,TP-0001,primary_mx~pickelhost.com
531.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
532.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
533.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
534.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
535.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
