ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
103.123.243.13,dea_domains_probed.csv,AS21859,False,,False,,,2026-08-25
103.124.165.130,vpn_relay_ips.csv,AS133251,False,,False,,,2026-08-23
103.124.165.191,vpn_relay_ips.csv,AS133251,False,,False,,,2026-08-23
103.124.165.2,vpn_relay_ips.csv,AS133251,False,,False,,,2026-08-23
103.125.180.36,dea_domains_probed.csv,AS133800,False,,False,,,2026-08-23
103.125.180.61,dea_domains_probed.csv,AS133800,False,,False,,,2026-08-23
103.125.233.18,vpn_relay_ips.csv,AS9312,False,,False,,,2026-08-23
103.125.233.33,vpn_relay_ips.csv,AS9312,False,,False,,,2026-08-23
103.125.86.21,dea_domains_probed.csv,AS132825,False,,False,,,2026-08-27
103.125.86.22,dea_domains_probed.csv,AS132825,False,,False,,,2026-08-29
103.125.86.23,dea_domains_probed.csv,AS132825,False,,False,,,2026-08-23
103.130.217.76,dea_domains_probed.csv,AS135951,False,,False,,,2026-08-23
103.131.51.174,dea_domains_probed.csv,AS131775,False,,False,,,2026-08-23
103.131.57.45,dea_domains_probed.csv,AS140815,False,,False,,,2026-08-23
103.133.1.1,dea_domains_probed.csv,AS209242,False,,False,,,2026-08-23
103.133.133.195,dea_domains_probed.csv,AS136412,False,,False,,,2026-08-23
103.133.56.17,dea_domains_probed.csv,AS138131,False,,False,,,2026-08-23
103.135.33.179,dea_domains_probed.csv,AS40065,False,,False,,,2026-08-23
103.136.147.129,vpn_relay_ips.csv,AS43357,False,,False,,,2026-08-23
103.136.147.197,vpn_relay_ips.csv,AS43357,False,,False,,,2026-08-23
103.136.147.3,vpn_relay_ips.csv,AS43357,False,,False,,,2026-08-23
103.136.147.65,vpn_relay_ips.csv,AS43357,False,,False,,,2026-08-23
103.137.14.219,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.14.227,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.14.235,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.14.243,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.11,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.19,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.27,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.35,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.43,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.51,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.59,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.67,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.75,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.15.83,vpn_relay_ips.csv,AS137409,False,,False,,,2026-08-23
103.137.185.66,dea_domains_probed.csv,AS135905,False,,False,,,2026-08-23
103.138.189.5,dea_domains_probed.csv,,False,,False,,,2026-08-23
103.138.189.72,dea_domains_probed.csv,,False,,False,,,2026-08-23
103.138.88.118,dea_domains_probed.csv,AS135905,False,,False,,,2026-08-23
103.138.88.39,dea_domains_probed.csv,AS135905,False,,False,,,2026-08-23
103.139.103.175,dea_domains_probed.csv,AS149161,False,,False,,,2026-08-23
103.139.103.186,dea_domains_probed.csv,AS149161,False,,False,,,2026-08-23
103.139.178.123,vpn_relay_ips.csv,AS203020,False,,False,,,2026-08-23
103.139.178.183,vpn_relay_ips.csv,AS203020,False,,False,,,2026-08-23
103.139.178.63,vpn_relay_ips.csv,AS203020,False,,False,,,2026-08-23
103.139.202.19,dea_domains_probed.csv,AS135905,False,,False,,,2026-08-23
103.139.3.54,dea_domains_probed.csv,AS139021,False,,False,,,2026-08-23
103.14.100.24,dea_domains_probed.csv,AS400619,False,,False,,,2026-08-25
103.140.9.221,dea_domains_probed.csv,AS216047,False,,False,,,2026-08-26
103.140.90.100,dea_domains_probed.csv,AS138876,False,,False,,,2026-08-23
103.141.1.72,dea_domains_probed.csv,AS140869,False,,False,,,2026-08-23
103.141.60.127,vpn_relay_ips.csv,AS138014,False,,False,,,2026-08-23
103.141.60.2,vpn_relay_ips.csv,AS138014,False,,False,,,2026-08-23
103.142.102.204,dea_domains_probed.csv,AS55933,False,,False,,,2026-08-23
103.143.17.156,dea_domains_probed.csv,AS134760,False,,False,,,2026-08-23
103.145.48.130,dea_domains_probed.csv,AS135059,False,,False,,,2026-08-28
103.146.230.242,dea_domains_probed.csv,AS142032,False,,False,,,2026-08-23
103.146.63.26,dea_domains_probed.csv,AS139457,False,,False,,,2026-08-23
103.148.244.243,dea_domains_probed.csv,AS142032,False,,False,,,2026-08-23
103.148.244.249,dea_domains_probed.csv,AS142032,False,,False,,,2026-08-23
103.148.244.67,dea_domains_probed.csv,AS142032,False,,False,,,2026-08-23
103.149.26.92,dea_domains_probed.csv,AS135377,False,,False,,,2026-08-23
103.149.28.119,dea_domains_probed.csv,AS149124,False,,False,,,2026-08-23
103.15.226.115,dea_domains_probed.csv,AS136052,False,,False,,,2026-08-23
103.151.172.39,dea_domains_probed.csv,AS134972,False,,False,,,2026-08-23
103.152.165.165,dea_domains_probed.csv,AS38732,False,,False,,,2026-08-23
103.152.249.31,dea_domains_probed.csv,AS133104,False,,False,,,2026-08-23
103.153.3.9,dea_domains_probed.csv,AS140389,False,,False,,,2026-08-23
