ASN,Name,Country,Source,Registry,Alloc_Date,Service
AS54913,"CLOUDWEBMANAGE-CANADA - Kamatera, Inc., US",,VPN/VPS,,,CLOUDWEBMANAGE-CANADA
AS55293,"A2HOSTING - A2 Hosting, Inc., US",,VPN/VPS,,,A2HOSTING
AS55720,"GIGABIT-MY Gigabit Hosting Sdn Bhd, MY",,VPN/VPS,,,GIGABIT-MY
AS55990,"HWCSNET Huawei Cloud Service data center, CN",,VPN/VPS,,,HWCSNET
AS56704,"FARICE-AS, IS",,VPN/VPS,,,FARICE
AS57172,"GLOBALLAYER, NL",,VPN/VPS,,,GLOBALLAYER
AS58065,"PACKETEXCHANGE, GB",,VPN/VPS,,,PACKETEXCHANGE
AS60068,"CDN77 _, GB",,VPN/VPS,,,CDN77
AS61272,"IST-AS, LT",,VPN/VPS,,,IST
AS6188,"VPSDATACENTER - Liquid Web, L.L.C, US",,VPN/VPS,,,VPSDATACENTER
AS62240,"CLOUVIDER Clouvider - Global ASN, GB",,VPN/VPS,,,CLOUVIDER
AS6233,"XTOM - xTom, US",,VPN/VPS,,,XTOM
AS62567,"DIGITALOCEAN-AS62567 - DigitalOcean, LLC, US",,VPN/VPS,,,DIGITALOCEAN-AS62567
AS62785,"AMAZON-FC - Amazon.com Services, LLC, US",,VPN/VPS,,,AMAZON-FC
AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",,VPN/VPS,,,AKAMAI-LINODE-AP
AS64022,"KAMATERAINC-AS-AP Kamatera, Inc., HK",,VPN/VPS,,,KAMATERAINC-AS-AP
AS64200,"VIVIDHOSTING - VIVID-HOSTING LLC, US",US,VPN/VPS,arin,2015-08-20,VIVIDHOSTING
AS6982,"DRAGON - A2 Hosting, Inc., US",,VPN/VPS,,,DRAGON
AS699,AMAZON-LEO-TERRESTRIAL - Amazon Technologies Inc.,,VPN/VPS,,,
AS7185,"QUADRANET-INTERNET-SERVICES - QuadraNet Internet Services, US",US,VPN/VPS,arin,1996-10-01,QUADRANET-INTERNET-SERVICES
AS7224,"AMAZON-AS - Amazon.com, Inc., US",,VPN/VPS,,,AMAZON
AS801,"AMAZON-LEO - Amazon Technologies Inc., US",,VPN/VPS,,,AMAZON-LEO
AS8100,"ASN-QUADRANET-GLOBAL - QuadraNet Enterprises LLC, US",,VPN/VPS,,,ASN-QUADRANET-GLOBAL
AS8473,"BAHNHOF, SE",,VPN/VPS,,,BAHNHOF
AS8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",,VPN/VPS,,,IONOS
AS9009,"M247, RO",,VPN/VPS,,,M247
AS9312,"XTOM xTom, HK",,VPN/VPS,,,XTOM
AS9335,NTPCL-AS-AP National Telecom Public Company Limited,,VPN/VPS,,,
AS9678,"HOSTINGINSIDE HostingInside LTD., TW",,VPN/VPS,,,HOSTINGINSIDE
