ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS14415,"HOSTCOLLECTIVE - Host Collective, Inc., US",US,Unknown,False,
AS1442,"ASNSISL - SureHosting Internet Solutions, Inc., US",US,Unknown,False,
AS14442,"AS14442 - PALOMINO SYSTEM INNOVATIONS INC., CA",CA,Unknown,False,
AS14536,"ASN-SOL - sol.net Network Services, US",US,Unknown,False,
AS14567,"SPRINGS - Springs Hosting, US",US,Unknown,False,
AS14576,"HOSTING-SOLUTIONS - Hosting Solution Ltd., US",US,Unknown,False,
AS14586,"NUCLEARFALLOUT-CHI - Nuclearfallout Enterprises, Inc., US",US,Unknown,False,
AS14618,"AMAZON-AES - Amazon.com, Inc., US",US,Unknown,False,
AS14670,"WHG-USE1, GB",GB,Unknown,False,
AS147049,"PACKETHUBSA-AS-AP PacketHub S.A., AU",AU,Unknown,False,
AS14708,"WebHost Chile S.A., CL",CL,Unknown,False,
AS149440,"EVOXTSDNBHD-AS-AP Evoxt Sdn. Bhd., MY",MY,Unknown,False,
AS14956,"ROUTERHOSTING - RouterHosting LLC, US",US,Unknown,False,
AS14986,"-Reserved AS-, ZZ",,Unknown,False,
AS14987,"RETHEMHOSTING - Rethem Hosting LLC, US",US,Unknown,False,
AS14992,"CRYSTALTECH - NewtekOne, Inc., US",US,Unknown,False,
AS15003,"LEASEWEB - Leaseweb USA, Inc., US",US,Unknown,False,
AS15083,"INFOLINK-MIA-US - Infolink Global Corporation, US",US,Unknown,False,
AS15108,"ALLO-COMM - Allo Communications LLC, US",US,Unknown,False,
AS15133,"EDGECAST - Edgecast Inc., US",US,Unknown,False,
AS151338,"POLONETWORK-AS-AP POLONETWORK LIMITED, HK",HK,Unknown,False,
AS15169,"GOOGLE - Google LLC, US",US,Unknown,False,
AS15189,"VIMRO-AS15189 - VIMRO, LLC, US",US,Unknown,False,
AS15353,"XENTAIN - Xentain Solutions Inc., CA",CA,Unknown,False,
AS15366,"DNSNET German Internet Service Providers, DE",DE,Unknown,False,
AS15395,"RACKSPACE-LON, GB",GB,Unknown,False,
AS15435,"KABELFOON DELTA Fiber Nederland, NL",NL,Unknown,False,
AS15497,"COLOCALL Internet Data Center ColoCALL, SK",SK,Unknown,False,
AS15502,"VODAFONE-IRELAND-ASN, IE",IE,Unknown,False,
AS15510,"CWCS-PS CompuWeb Communications Services Ltd, GB",GB,Unknown,False,
AS1555,"DNIC-ASBLK-01550-01601 - United States Department of Defense DoD, US",US,Unknown,False,
AS15557,"LDCOMNET --- I3Dnet ---, FR",FR,Unknown,False,
AS15600,"QUICKLINE Quickline AG, CH",CH,Unknown,False,
AS15626,"GF-UA, US",US,Unknown,False,
AS15704,"XTRA Telecom, ES",ES,Unknown,False,
AS15728,"RMF-KRAKOW-, PL",PL,Unknown,False,
AS15734,"EQUINIX-CONNECT-IBERIA Equinix Connect - Iberia, ES",ES,Unknown,False,
AS15735,"DATASTREAM-NET, MT",MT,Unknown,False,
AS15796,"SALT-, CH",CH,Unknown,False,
AS15919,"INTERHOST, ES",ES,Unknown,False,
AS15943,"WTNET-AS wilhelm.tel GmbH, DE",DE,Unknown,False,
AS15958,"CETIN_DOO_AS CETINdoo-NET, RS",RS,Unknown,False,
AS160,"U-CHICAGO-AS - The University of Chicago, US",US,Unknown,False,
AS16019,"VODAFONE-CZ-AS, CZ",CZ,Unknown,False,
AS16075,"TAZ-AS taz die tageszeitung autonomous system, DE",DE,Unknown,False,
AS16086,"DNA, FI",FI,Unknown,False,
AS1611,"MABELTEL - Mabel Cooperative Telephone Company, US",US,Unknown,False,
AS16117,"GAVLENET se.gavlenet Autonomous System, SE",SE,Unknown,False,
AS16125,"CHERRYSERVERS1-AS, LT",LT,Unknown,False,
AS16185,"RINGNETT-NORWAY RingNett AS Autonomous System, NO",NO,Unknown,False,
AS1620,"AS-DOELEGAL - doeLEGAL, Inc., US",US,Unknown,False,
AS16202,"TC-PRIMACOM, DE",DE,Unknown,False,
AS16247,"M247-UK, GB",GB,Unknown,False,
AS16262,"DATACHEAP-LLC-AS, RU",RU,Unknown,False,
AS16276,"OVH, FR",FR,Unknown,False,
AS16284,"Inq-Digital-Nigeria-AS, NG",NG,Unknown,False,
AS16302,"SUOMICOMMUNICATIONS, FI",FI,Unknown,False,
AS1634,"BWDSB - Bluewater District School Board, CA",CA,Unknown,False,
AS16342,"TOYA TOYA Sp. z o.o., PL",PL,Unknown,False,
AS16397,"EQUINIX BRASIL, BR",BR,Unknown,False,
AS16509,"AMAZON-02 - Amazon.com, Inc., US",US,Unknown,False,
AS16535,"ECHOS-3 - Echostar Purchasing Corporation, US",US,Unknown,False,
AS1659,"ERX-TANET-ASN1 Taiwan Academic Network TANet Information Center, TW",TW,Unknown,False,
AS16591,"GOOGLE-FIBER - Google Fiber Inc., US",US,Unknown,False,
AS16628,"DEDICATED-FIBER-COMMUNICATIONS - DedFiberCo, US",US,Unknown,False,
AS16652,"RISEUP - Riseup Networks, US",US,Unknown,False,
AS167,"WESLEYAN-AS - Wesleyan University, US",US,Unknown,False,
AS16735,"ALGAR TELECOM SA, BR",BR,Unknown,False,
AS16862,"ODESSA-COLLEGE-JUNIOR-COLLEGE-DISTRICT - Odessa College, US",US,Unknown,False,
AS16892,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,Unknown,False,
AS16904,"ARVIG-16904 - Arvig Enterprises Inc., US",US,Unknown,False,
AS16973,"T-Four Services S.A, CR",CR,Unknown,False,
AS17017,"AS-CAMPUSCOLO - campuscolo.com, US",US,Unknown,False,
AS17019,"UNREAL-SERVERS - JCHost Internet Services, LLC, US",US,Unknown,False,
AS17216,"DC74-AS - DC74 LLC, US",US,Unknown,False,
AS173,"NTTECL-AS Nippon Telegraph and Telephone Corporation, JP",JP,Unknown,False,
AS17356,"VERMONT-TELE - Vermont Telephone Company, Inc., US",US,Unknown,False,
AS17439,"NCINSPL-IN NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED, IN",IN,Unknown,False,
AS17488,"HATHWAY-NET-AP Hathway IP Over Cable Internet, IN",IN,Unknown,False,
AS17506,"UCOM ARTERIA Networks Corporation, JP",JP,Unknown,False,
AS1754,"DESY-HAMBURG, DE",DE,Unknown,False,
AS17547,"M1NET-SG-AP M1 NET LTD, SG",SG,Unknown,False,
AS1759,"TSF-IP-CORE Telia Finland Oyj, FI",FI,Unknown,False,
AS17669,"AC3-AS-AP ac3, Australian Centre for Advanced Computing and Communications, AU",AU,Unknown,False,
AS1767,"ILIGHT-NET - Indiana Higher Education Telecommunication System IHETS, US",US,Unknown,False,
AS17676,"GIGAINFRA SoftBank Corp., JP",JP,Unknown,False,
AS1781,"KAIST-DAEJEON-AS-KR Korea Advanced Institute of Science and Technology, KR",KR,Unknown,False,
