relay_hostname,ingress_ip,exit_ip,probe_date
us-slc-wg-306,23.234.114.127,23.234.114.146,2026-07-07
us-slc-wg-307,23.234.115.3,23.234.115.20,2026-07-07
us-slc-wg-308,23.234.115.127,23.234.115.146,2026-07-07
us-txc-wg-001,79.127.222.194,79.127.222.195,2026-07-07
us-txc-wg-002,79.127.222.207,79.127.222.208,2026-07-07
us-uyk-wg-201,104.36.50.3,104.36.50.6,2026-07-07
us-uyk-wg-202,104.36.50.33,104.36.50.36,2026-07-07
us-was-wg-001,185.213.193.3,185.213.193.20,2026-07-07
us-was-wg-002,185.213.193.127,185.213.193.146,2026-07-07
za-jnb-wg-001,154.47.30.130,154.47.30.131,2026-07-07
za-jnb-wg-002,154.47.30.143,154.47.30.144,2026-07-07
